t,λ1,δ1,λ2,δ2,λ3,δ3,λ4,δ4,λ5,δ5,λ6,δ6,λ7,δ7,λ8,δ8,λ9,δ9,λ10,δ10
286.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.672825403915013,33.0,29.629513480223622,33.0,29.6145666707765,33.0,29.6847089077751,33.0,29.690393165299266,33.0
287.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.672825403915013,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.6847089077751,33.0,29.690393165299266,33.0
288.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.672825403915013,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.6847089077751,33.0,29.690393165299266,33.0
289.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.672825403915013,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.6847089077751,33.0,29.6903931652993,33.0
290.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.675439981721905,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.6847089077751,33.0,29.6903931652993,33.0
291.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.69200441432195,33.0,29.6903931652993,33.0
292.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.69200441432195,33.0,29.690548757456114,33.0
293.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62961367176858,33.0,29.6145666707765,33.0,29.693957779324847,33.0,29.690548757456114,33.0
294.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62961367176858,33.0,29.615223929386318,33.0,29.693957779324847,33.0,29.690548757456114,33.0
295.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589256029576823,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62979154773151,33.0,29.615223929386318,33.0,29.693957779324847,33.0,29.690548757456114,33.0
296.0,29.60080514216985,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.62979154773151,33.0,29.615791290780187,33.0,29.693957779324847,33.0,29.690849040952937,33.0
297.0,29.60080514216985,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.638229109990355,33.0,29.615791290780187,33.0,29.69425435928965,33.0,29.690849040952937,33.0
298.0,29.60080514216985,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.570143198166207,33.0,29.67543998172197,33.0,29.638229109990355,33.0,29.615791290780187,33.0,29.69425435928965,33.0,29.691626151181527,33.0
299.0,29.60080514216985,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.615791290780187,33.0,29.69425435928965,33.0,29.6918593394087,33.0
300.0,29.60080514216985,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.615791290780187,33.0,29.69425435928965,33.0,29.695285157720694,33.0
301.0,29.60080514216985,33.0,29.61649923535458,33.0,29.540919671939886,33.0,29.59012411435765,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.615791290780212,33.0,29.69425435928965,33.0,29.695285157720694,33.0
302.0,29.60080514216985,33.0,29.61649923535458,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.615791290780212,33.0,29.699340868289433,33.0,29.695285157720694,33.0
303.0,29.60080514216985,33.0,29.61649923535458,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.618798304530603,33.0,29.699340868289433,33.0,29.695285157720694,33.0
304.0,29.60080514216985,33.0,29.61649923535458,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.618798304530603,33.0,29.699340868289433,33.0,29.696981095540323,33.0
305.0,29.60080514216985,33.0,29.61649923535458,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.638229109990355,33.0,29.618798304530603,33.0,29.699340868289433,33.0,29.696981095540323,33.0
306.0,29.60080514216985,33.0,29.616516050536035,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.61917291990713,33.0,29.699340868289433,33.0,29.696981095540323,33.0
307.0,29.60080514216985,33.0,29.616516050536035,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.61973259588576,33.0,29.699340868289433,33.0,29.696981095540323,33.0
308.0,29.60080514216985,33.0,29.616516050536035,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.61973259588576,33.0,29.70101475320785,33.0,29.696981095540323,33.0
309.0,29.602079647826727,33.0,29.616516050536035,33.0,29.540919671939886,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.619732595885846,33.0,29.70101475320785,33.0,29.696981095540323,33.0
310.0,29.602079647826727,33.0,29.616516050536035,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57080644048232,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.619732595885846,33.0,29.70101475320785,33.0,29.696981095540323,33.0
311.0,29.602079647826727,33.0,29.616516050536035,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.619732595885885,33.0,29.70101475320785,33.0,29.696981095540323,33.0
312.0,29.602079647826727,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.654314002140353,33.0,29.619732595885885,33.0,29.70101475320785,33.0,29.696981095540323,33.0
313.0,29.602079647826727,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.658996809316044,33.0,29.619732595885885,33.0,29.70101475320785,33.0,29.696981095540323,33.0
314.0,29.602079647826727,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.658996809316044,33.0,29.619732595885885,33.0,29.702311840191538,33.0,29.696981095540323,33.0
315.0,29.602079647826727,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.658996809316044,33.0,29.619732595885885,33.0,29.702311840191538,33.0,29.697147566055083,33.0
316.0,29.602079647826727,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.663606282742194,33.0,29.619732595885885,33.0,29.702311840191538,33.0,29.697147566055083,33.0
317.0,29.606343498664405,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.677462190393896,33.0,29.663606282742194,33.0,29.632278404277702,33.0,29.702311840191538,33.0,29.697147566055083,33.0
318.0,29.606343498664405,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.678273251609617,33.0,29.663787599450053,33.0,29.632278404277702,33.0,29.702311840191538,33.0,29.697147566055083,33.0
319.0,29.606343498664405,33.0,29.619149947873225,33.0,29.542639501656318,33.0,29.590278788974935,33.0,29.57207129899303,33.0,29.68674818123609,33.0,29.664650230154,33.0,29.632278404277702,33.0,29.702311840191538,33.0,29.697147566055083,33.0
320.0,29.606343498664405,33.0,29.619149947873225,33.0,29.544306396943952,33.0,29.590278788974935,33.0,29.57219172253554,33.0,29.68674818123609,33.0,29.664650230154,33.0,29.632278404277702,33.0,29.705988021096733,33.0,29.70043825149916,33.0
321.0,29.606343498664405,33.0,29.619149947873225,33.0,29.544306396943952,33.0,29.590278788974935,33.0,29.57219172253554,33.0,29.68674818123609,33.0,29.664650230154,33.0,29.632278404277702,33.0,29.705988021096733,33.0,29.70043825149916,33.0
322.0,29.618789637886525,33.0,29.619149947873225,33.0,29.544306396943952,33.0,29.590278788974935,33.0,29.575404920756903,33.0,29.68674818123609,33.0,29.664650230154,33.0,29.632278404277756,33.0,29.705988021096733,33.0,29.701939336328593,33.0
323.0,29.618789637886525,33.0,29.619149947873225,33.0,29.544306396943952,33.0,29.590278788974935,33.0,29.578234346220007,33.0,29.68674818123609,33.0,29.664650230154,33.0,29.63228069280467,33.0,29.705988021096733,33.0,29.701939336328593,33.0
324.0,29.618789637886525,33.0,29.619149947873225,33.0,29.545905328628198,33.0,29.590278788974935,33.0,29.578234346220007,33.0,29.68674818123609,33.0,29.666815524805248,33.0,29.63228069280467,33.0,29.71189248630661,33.0,29.704201841500918,33.0
325.0,29.618789637886525,33.0,29.619522810505,33.0,29.545905328628198,33.0,29.590278788974935,33.0,29.578234346220007,33.0,29.68674818123609,33.0,29.666815524805248,33.0,29.63228069280467,33.0,29.71189248630661,33.0,29.704201841500918,33.0
326.0,29.618789637886525,33.0,29.619522810505,33.0,29.54781566634223,33.0,29.590278788974935,33.0,29.578234346220007,33.0,29.68674818123609,33.0,29.666815524805248,33.0,29.63228069280467,33.0,29.71189248630661,33.0,29.704201841500918,33.0
327.0,29.618789637886525,33.0,29.619522810505,33.0,29.54781566634223,33.0,29.590278788974935,33.0,29.578234346220007,33.0,29.68674818123609,33.0,29.666815524805248,33.0,29.63228069280467,33.0,29.71189248630661,33.0,29.704201841500918,33.0
