t,λ1,δ1,λ2,δ2
493.0,25.847221658391106,27.5,34.66827386148046,35.0
494.0,25.8480163273665,27.5,34.66827386148046,35.0
495.0,25.8480163273665,27.5,34.66836564916241,35.0
496.0,25.8480163273665,27.5,34.66836564916241,35.0
497.0,25.853831682580687,27.5,34.66844876039902,35.0
498.0,25.853831682580687,27.5,34.66844876039902,35.0
499.0,25.866259332334987,27.5,34.66858423915516,35.0
500.0,25.866259332334987,27.5,34.668600638281674,35.0
501.0,25.86639089589629,27.5,34.668600638281674,35.0
502.0,25.866712128173067,27.5,34.668600638281674,35.0
503.0,25.878451065271136,27.5,34.66860148437071,35.0
504.0,25.878451065271136,27.5,34.66863873504687,35.0
505.0,25.878451065271136,27.5,34.66863873504687,35.0
506.0,25.87870653282687,27.5,34.66864751389622,35.0
507.0,25.878767308592884,27.5,34.66864751389622,35.0
508.0,25.878767308592884,27.5,34.66864751389622,35.0
509.0,25.8799032939517,27.5,34.66864751389622,35.0
510.0,25.8799032939517,27.5,34.67030295310611,35.0
511.0,25.89339563655052,27.5,34.67030295310611,35.0
512.0,25.89339563655052,27.5,34.670336836108405,35.0
513.0,25.908932813063675,27.5,34.670336836108405,35.0
514.0,25.90944214192747,27.5,34.67218348181317,35.0
515.0,25.90944214192747,27.5,34.67218348181317,35.0
516.0,25.90944214192747,27.5,34.67218348181317,35.0
517.0,25.910126712647706,27.5,34.67218348181317,35.0
518.0,25.910126712647706,27.5,34.67218348181317,35.0
519.0,25.910126712647706,27.5,34.67218348181317,35.0
520.0,25.910126712647706,27.5,34.672193435940926,35.0
521.0,25.918698350417166,27.5,34.672193435940926,35.0
522.0,25.918774125624196,27.5,34.672193435940926,35.0
523.0,25.919000130707186,27.5,34.672214970066534,35.0
524.0,25.919000130707186,27.5,34.67221497006658,35.0
525.0,25.9199474048084,27.5,34.67221497006658,35.0
526.0,25.9199474048084,27.5,34.672262975234275,35.0
527.0,25.92116547121461,27.5,34.672262975234275,35.0
528.0,25.92234108776997,27.5,34.672262975234275,35.0
529.0,25.924266267308,27.5,34.672291626185476,35.0
530.0,25.924266267308,27.5,34.67236428443757,35.0
531.0,25.926463991450937,27.5,34.67237805527431,35.0
532.0,25.92687773162666,27.5,34.67241273039163,35.0
533.0,25.92687773162666,27.5,34.67241273039163,35.0
534.0,25.92687773162666,27.5,34.67259655565178,35.0
535.0,25.92687773162666,27.5,34.67259655565178,35.0
536.0,25.92687773162666,27.5,34.67268683170545,35.0
537.0,25.92687773162666,27.5,34.67268683170545,35.0
538.0,25.928493074104715,27.5,34.67268683170545,35.0
539.0,25.92920610505429,27.5,34.67268683170545,35.0
540.0,25.93343767897898,27.5,34.67268683170545,35.0
541.0,25.933865654954165,27.5,34.674920670501905,35.0
542.0,25.933865654954165,27.5,34.67496456477633,35.0
543.0,25.934932764050995,27.5,34.67498078482485,35.0
544.0,25.934932764050995,27.5,34.675042171837376,35.0
545.0,25.934932764050995,27.5,34.675084849698266,35.0
546.0,25.934932764050995,27.5,34.675084849698266,35.0
547.0,25.94541931724058,27.5,34.675084849698266,35.0
548.0,25.94541931724058,27.5,34.675084849698266,35.0
549.0,25.947483475592207,27.5,34.67574540846541,35.0
550.0,25.947483475592207,27.5,34.67574540846541,35.0
551.0,25.948870030744537,27.5,34.67578749687188,35.0
552.0,25.94950745489983,27.5,34.67587767822321,35.0
553.0,25.952557347049392,27.5,34.67587767822321,35.0
554.0,25.952557347049392,27.5,34.67587767822321,35.0
555.0,25.952557347049392,27.5,34.67893467081896,35.0
556.0,25.952557347049392,27.5,34.67893467081896,35.0
557.0,25.952557347049392,27.5,34.67893467081896,35.0
558.0,25.953510310057847,27.5,34.67893933987503,35.0
559.0,25.953510310057847,27.5,34.67893933987503,35.0
560.0,25.953912850741204,27.5,34.67893933987503,35.0
561.0,25.953912850741204,27.5,34.67893933987503,35.0
562.0,25.95522288262883,27.5,34.67893933987503,35.0
563.0,25.95522288262883,27.5,34.67893933987503,35.0
564.0,25.95522288262883,27.5,34.67893933987503,35.0
565.0,25.95522288262883,27.5,34.67893933987503,35.0
566.0,25.95522288262883,27.5,34.67893933987503,35.0
567.0,25.95522288262883,27.5,34.67893933987503,35.0
568.0,25.95522288262883,27.5,34.67893933987503,35.0
569.0,25.95522288262883,27.5,34.678971333784425,35.0
570.0,25.959127615925212,27.5,34.678971333784425,35.0
571.0,25.95964845588257,27.5,34.678971333784425,35.0
572.0,25.95964845588257,27.5,34.678971333784425,35.0
573.0,25.95964845588257,27.5,34.678971333784425,35.0
574.0,25.95964845588257,27.5,34.67899001078804,35.0
575.0,25.95964845588257,27.5,34.679261485021804,35.0
576.0,25.962903476834533,27.5,34.679279346885856,35.0
577.0,25.966255688659988,27.5,34.679282553005955,35.0
578.0,25.966255688659988,27.5,34.679282553005955,35.0
579.0,25.96655425469221,27.5,34.679282553005955,35.0
580.0,25.96655425469221,27.5,34.679282553005955,35.0
581.0,25.9667980964434,27.5,34.67928330443956,35.0
582.0,25.96746223600941,27.5,34.67928330443956,35.0
583.0,25.96746223600941,27.5,34.67928330443956,35.0
584.0,25.968117309100958,27.5,34.67937366533794,35.0
585.0,25.968117309100958,27.5,34.679383254585446,35.0
586.0,25.968117309100958,27.5,34.67951031221681,35.0
587.0,25.968117309100958,27.5,34.67951031221681,35.0
588.0,25.968272807719636,27.5,34.67951031221681,35.0
589.0,25.968348480674674,27.5,38.975708271481565,40.0
590.0,25.968348480674674,27.5,39.00941003876047,40.0
591.0,25.968348480674674,27.5,39.00943106615191,40.0
592.0,25.96873473895539,27.5,39.00943106615191,40.0
593.0,25.96873473895539,27.5,39.01021835606346,40.0
594.0,25.96873473895539,27.5,39.01021835606346,40.0
595.0,25.96873473895539,27.5,39.01021835606346,40.0
596.0,25.96873473895539,27.5,39.01054368126638,40.0
597.0,25.968893959654572,27.5,39.152692211505276,40.5
598.0,25.970203073158483,27.5,39.152692211505276,40.5
599.0,25.973344606757774,27.5,39.152692211505276,40.5
600.0,25.973344606757774,27.5,39.152692211505276,40.5
601.0,25.973344606757774,27.5,39.15286334990655,40.5
602.0,25.97369223007907,27.5,39.15297433328065,40.5
603.0,25.97369223007907,27.5,39.15297433328065,40.5
604.0,25.97369223007907,27.5,39.15297433328065,40.5
605.0,25.974308247077794,27.5,39.15297433328065,40.5
606.0,25.974308247077794,27.5,39.15297433328065,40.5
607.0,25.974993013294053,27.5,39.15297433328065,40.5
608.0,25.974993013294053,27.5,39.15313899373839,40.5
609.0,25.974993013294053,27.5,39.15313899373839,40.5
610.0,25.974993013294053,27.5,39.15313899373839,40.5
611.0,25.974993013294053,27.5,39.15334878705722,40.5
612.0,25.974993013294053,27.5,39.15345114610661,40.5
613.0,25.975350219776335,27.5,39.15345114610661,40.5
614.0,25.975350219776335,27.5,39.15345114610661,40.5
615.0,25.975350219776335,27.5,39.15345114610661,40.5
616.0,25.976663081333154,27.5,39.15368274249629,40.5
617.0,25.976663081333154,27.5,39.15390996064335,40.5
618.0,25.97687775791206,27.5,39.15723559785714,40.5
619.0,25.97687775791206,27.5,39.15723559785714,40.5
620.0,25.97687775791206,27.5,39.157436627396095,40.5
621.0,25.977323841386884,27.5,39.15803512610642,40.5
622.0,25.977323841386884,27.5,39.15803512610642,40.5
623.0,25.977323841386884,27.5,39.15803512610642,40.5
624.0,25.977323841386884,27.5,39.15803512610642,40.5
625.0,25.977323841386884,27.5,39.159855614581026,40.5
626.0,25.977323841386884,27.5,39.16085140639488,40.5
627.0,25.977323841386884,27.5,39.16085140639488,40.5
628.0,25.97945186305367,27.5,39.16085140639488,40.5
629.0,25.981156718437703,27.5,39.16085140639488,40.5
630.0,25.981156718437703,27.5,39.1608550972301,40.5
631.0,25.9818464262447,27.5,39.1608550972301,40.5
632.0,25.9818464262447,27.5,39.160977981318716,40.5
633.0,25.9818464262447,27.5,39.160977981318716,40.5
634.0,25.983577029572796,27.5,39.16144798309384,40.5
635.0,25.983577029572796,27.5,39.16389139789495,40.5
636.0,25.983577029572796,27.5,39.16389139789495,40.5
637.0,25.983752743128463,27.5,39.17155539760535,40.5
638.0,25.983752743128463,27.5,39.17155539760535,40.5
639.0,25.989848123667034,27.5,39.17163137572167,40.5
640.0,25.989848123667034,27.5,39.17163137572167,40.5
641.0,25.990669989964548,27.5,39.17163137572167,40.5
642.0,25.990669989964548,27.5,39.17163137572167,40.5
643.0,25.990669989964548,27.5,39.171769944379975,40.5
644.0,25.99099044521509,27.5,39.17763986149781,40.5
645.0,25.99099044521509,27.5,39.17763986149781,40.5
646.0,25.991037864436013,27.5,39.17763986149781,40.5
647.0,25.991253911158918,27.5,39.17769279224919,40.5
648.0,25.99136271974519,27.5,39.17775561234699,40.5
649.0,25.991422776144656,27.5,39.1778655178821,40.5
650.0,25.994562267931318,27.5,39.1778655178821,40.5
651.0,25.995042565359743,27.5,39.187267929459054,40.5
652.0,25.995042565359743,27.5,39.187267929459054,40.5
653.0,25.996054585522675,27.5,39.187267929459054,40.5
654.0,25.996054585522675,27.5,39.189361811726656,40.5
655.0,25.996054585522675,27.5,39.189361811726656,40.5
656.0,26.021443522922766,27.5,39.190107880179795,40.5
657.0,26.021443522922766,27.5,39.191355567645175,40.5
658.0,26.021443522922766,27.5,39.191355567645175,40.5
659.0,26.021443522922766,27.5,39.192022584597794,40.5
660.0,26.021443522922766,27.5,39.192022584597794,40.5
661.0,26.021443522922766,27.5,39.19203648301908,40.5
662.0,26.02166776364442,27.5,39.19203648301908,40.5
663.0,26.02166776364442,27.5,39.19203648301908,40.5
664.0,26.02334939203712,27.5,39.19204254153028,40.5
665.0,26.02334939203712,27.5,39.19300454722729,40.5
666.0,26.02665906824168,27.5,39.19752568126738,40.5
667.0,26.02665906824168,27.5,39.20148500566489,40.5
668.0,26.02665906824168,27.5,39.20178920184115,40.5
669.0,26.02665906824168,27.5,39.20179185831629,40.5
670.0,26.02769084301732,27.5,39.20507868359006,40.5
671.0,26.028353364372247,27.5,39.20520038609221,40.5
672.0,26.029401804286206,27.5,39.20520038609221,40.5
673.0,26.029401804286206,27.5,39.205490031082455,40.5
674.0,26.029504844853857,27.5,39.205810143059466,40.5
675.0,26.029504844853857,27.5,39.205810143059466,40.5
676.0,26.03126560505195,27.5,39.205810143059466,40.5
677.0,26.03126560505195,27.5,39.205810143059466,40.5
678.0,26.03126560505195,27.5,39.205810143059466,40.5
679.0,26.03126560505195,27.5,39.205810143059466,40.5
680.0,26.03126560505195,27.5,39.20716359641025,40.5
681.0,26.03221124810838,27.5,39.20825436334052,40.5
682.0,26.03221124810838,27.5,39.20825436334052,40.5
683.0,26.03221124810838,27.5,39.20825436334052,40.5
684.0,26.03289157882529,27.5,39.20825436334052,40.5
685.0,26.03289157882529,27.5,39.208641896042806,40.5
686.0,26.03289157882529,27.5,39.20887044683606,40.5
687.0,26.03289157882529,27.5,39.20887044683606,40.5
688.0,26.03289157882529,27.5,39.20936135281914,40.5
689.0,26.038334687394343,27.5,39.210021231526405,40.5
690.0,26.038334687394343,27.5,39.210021231526405,40.5
691.0,26.03840066559416,27.5,39.210021231526405,40.5
692.0,26.03840066559416,27.5,39.210021231526405,40.5
693.0,26.03841498662499,27.5,39.21018008641891,40.5
694.0,26.03841498662499,27.5,39.24367720958639,40.5
695.0,26.03841498662499,27.5,39.246269080312565,40.5
696.0,26.068796056433825,27.5,39.24763421420231,40.5
697.0,26.068796056433825,27.5,39.24840690827531,40.5
698.0,26.068796056433825,27.5,39.24840690827531,40.5
699.0,26.068796056433825,27.5,39.24840690827531,40.5
700.0,26.068871235738293,27.5,39.24840690827531,40.5
701.0,26.068871235738293,27.5,39.248619482924326,40.5
702.0,26.07014996336221,27.5,39.24874029188423,40.5
703.0,26.07385475437303,27.5,39.24874029188423,40.5
704.0,26.075099117444402,27.5,39.24874029188423,40.5
705.0,26.075099117444402,27.5,39.24878470706328,40.5
706.0,26.075099117444402,27.5,39.24878470706328,40.5
707.0,26.075099117444402,27.5,39.24901512096342,40.5
708.0,26.075099117444402,27.5,39.24914089060857,40.5
709.0,26.076539994257928,27.5,39.25661003706424,40.5
710.0,26.076539994257928,27.5,39.25661003706424,40.5
711.0,26.076539994257928,27.5,39.25798358188333,40.5
712.0,26.082188596697883,27.5,39.25798358188333,40.5
713.0,26.082967440198523,27.5,39.25798358188333,40.5
714.0,26.082967440198523,27.5,39.258040848245926,40.5
715.0,26.082967440198523,27.5,39.25889230471306,40.5
716.0,26.082967440198523,27.5,39.261117585077336,40.5
717.0,26.083137718122003,27.5,39.261117585077336,40.5
718.0,26.083137718122003,27.5,39.26137112129232,40.5
719.0,26.084019598368418,27.5,39.26137112129232,40.5
720.0,26.084019598368418,27.5,39.26137112129232,40.5
721.0,26.08461648299966,27.5,39.26137112129232,40.5
722.0,26.08461648299966,27.5,39.26139128575588,40.5
723.0,26.08461648299966,27.5,39.26139128575588,40.5
724.0,26.08461648299966,27.5,39.26139128575588,40.5
725.0,26.08461648299966,27.5,39.26139128575588,40.5
726.0,26.08493392737202,27.5,39.26139128575588,40.5
727.0,26.08493392737202,27.5,39.26139128575588,40.5
728.0,26.08493392737202,27.5,39.26420538118883,40.5
729.0,26.08493392737202,27.5,39.26420538118883,40.5
730.0,26.08493392737202,27.5,39.26494942907325,40.5
731.0,26.08493392737202,27.5,39.26494942907325,40.5
732.0,26.08752120920206,27.5,39.26494942907325,40.5
733.0,26.08752120920206,27.5,39.26494942907325,40.5
734.0,26.088713043335428,27.5,39.26494942907325,40.5
735.0,26.088713043335428,27.5,39.26495349150304,40.5
736.0,26.088713043335428,27.5,39.26518298089645,40.5
737.0,26.091122943434396,27.5,39.26530832728892,40.5
738.0,26.091122943434396,27.5,39.265431835376305,40.5
739.0,26.091122943434396,27.5,39.265674873554815,40.5
740.0,26.091122943434396,27.5,39.27110370315133,40.5
741.0,26.091122943434396,27.5,39.27110370315133,40.5
742.0,26.10276699825449,27.5,39.27110370315133,40.5
743.0,26.103198282840964,27.5,39.272820590557295,40.5
744.0,26.104658892377557,27.5,39.27292871235941,40.5
745.0,26.104678854963655,27.5,39.27292871235941,40.5
746.0,26.104743992106194,27.5,39.28372791638325,40.5
747.0,26.104743992106194,27.5,39.28377055445401,40.5
748.0,26.104743992106194,27.5,39.28454076348761,40.5
749.0,26.104743992106194,27.5,39.28454076348761,40.5
750.0,26.104812838433464,27.5,39.28454076348761,40.5
751.0,26.104812838433464,27.5,39.28454076348761,40.5
752.0,26.104812838433464,27.5,39.285681798740356,40.5
753.0,26.104812838433464,27.5,39.285681798740356,40.5
754.0,26.104812838433464,27.5,39.285681798740356,40.5
755.0,26.104812838433464,27.5,39.28577953391033,40.5
756.0,26.104812838433464,27.5,39.28577953391033,40.5
757.0,26.104812838433464,27.5,39.28598942923764,40.5
758.0,26.104812838433464,27.5,39.28611775363375,40.5
759.0,26.104812838433464,27.5,39.6229770995743,40.5
760.0,26.104812838433464,27.5,39.62438103255183,40.5
761.0,26.104812838433464,27.5,39.62438103255183,40.5
762.0,26.104812838433464,27.5,39.63874031301223,40.5
763.0,26.104812838433464,27.5,39.63874553373118,40.5
764.0,26.106163122529246,27.5,39.63874553373118,40.5
765.0,26.106163122529246,27.5,39.63874553373118,40.5
766.0,26.106163122529246,27.5,39.63874553373118,40.5
767.0,26.106163122529246,27.5,39.64199011940399,40.5
768.0,26.106163122529246,27.5,39.64199011940399,40.5
769.0,26.106163122529246,27.5,39.644950831173375,40.5
770.0,26.106163122529246,27.5,39.644950831173375,40.5
771.0,26.106163122529246,27.5,39.645043949842126,40.5
772.0,26.106163122529246,27.5,39.645043949842126,40.5
